Symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj,DE
FAM133A,315.3800773,-0.321984007,0.113528933,0.010420726,0.034489975,FALSE
PTPRM,440.7174145,-0.321748907,0.09273941,0.000191475,0.001263647,FALSE
ACVR1B,142.7291224,-0.321675272,0.150676627,6.44E-06,7.00E-05,FALSE
FCHSD2,75.90700556,-0.321614572,0.201677828,0.059504884,0.132645415,FALSE
IRX6,26.00871058,-0.321135335,0.285330387,0.013605474,0.042379119,FALSE
WDR20,120.9098624,-0.320730958,0.162373652,0.05960702,0.132809623,FALSE
TRNP,495.7313455,-0.320442175,0.127746681,5.85E-05,0.000458145,FALSE
POLR3GL,587.3737734,-0.320362956,0.100658536,0.00053868,0.003025491,FALSE
SMIM10,442.4711493,-0.320145323,0.097675361,0.00074811,0.003992629,FALSE
DENND5B,71.94535962,-0.319695235,0.181881246,0.046732954,0.110739475,FALSE
LZTS1,117.7597812,-0.319193888,0.176220055,0.000700776,0.003776741,FALSE
ACADSB,237.3644776,-0.319181951,0.125563806,0.007039932,0.025455631,FALSE
LOC101927118,157.5767196,-0.318819277,0.131009121,0.000842061,0.004433175,FALSE
LOC105376360,84.34956639,-0.318339678,0.192355435,0.015420958,0.046906462,FALSE
LOC101929028,134.8354823,-0.318148323,0.150335165,0.000725789,0.003891311,FALSE
TSHZ1,65.28675099,-0.317960341,0.219874008,0.055874843,0.126610739,FALSE
ZNF600,22.929935,-0.317756002,0.334028379,0.044353885,0.106310871,FALSE
PFKM,141.6556977,-0.317484228,0.140255923,0.004484076,0.017680449,FALSE
EFNA5,152.2478564,-0.317272427,0.145087482,0.027562208,0.073622778,FALSE
GBE1,1497.269688,-0.316227956,0.062279753,6.82E-09,1.75E-07,FALSE
IP6K2,443.0519936,-0.316205774,0.103902873,0.001573266,0.00752281,FALSE
ICE1,112.6503462,-0.3160867,0.171886883,0.056572739,0.127634118,FALSE
RBM39,760.9138283,-0.315669362,0.099173423,0.000127327,0.000899875,FALSE
AK3,663.3315429,-0.315141942,0.101989509,0.002532177,0.011179687,FALSE
LOC130494219,33.34443374,-0.315067053,0.267417061,0.029849257,0.078021999,FALSE
PXDN,2986.944843,-0.314927215,0.071437158,2.11E-06,2.67E-05,FALSE
IREB2,187.9747638,-0.314894779,0.120639533,0.004220757,0.016812742,FALSE
PALLD,73.6610111,-0.314825777,0.199987816,0.030225377,0.078720045,FALSE
ARID4B,375.7851336,-0.314523958,0.113797674,0.007891761,0.027866103,FALSE
AJUBA,332.0096323,-0.313573353,0.100104921,5.64E-10,1.90E-08,FALSE
TCEAL9,2872.043537,-0.313498134,0.055977421,1.86E-09,5.54E-08,FALSE
H1-2,554.411204,-0.313193989,0.105573674,6.09E-05,0.000474559,FALSE
FAM89A,227.5644715,-0.311826763,0.130276613,0.001658653,0.007838688,FALSE
IVD,341.8754033,-0.311593602,0.102071115,0.000820652,0.004335142,FALSE
SKAP2,400.7151489,-0.311478141,0.114541273,0.003584969,0.014817977,FALSE
LTBP3,76.65402148,-0.310999181,0.191038614,0.011658899,0.037700476,FALSE
CRTC1,56.12681809,-0.310716823,0.215445594,0.030839872,0.080096092,FALSE
KMT2E,352.9408205,-0.310232133,0.11814969,0.00109319,0.005575926,FALSE
RSPH3,200.2172243,-0.309865963,0.122347573,2.02E-06,2.57E-05,FALSE
ARHGAP10,210.1098863,-0.309616317,0.11439929,0.000129785,0.000915167,FALSE
CAT,497.0326608,-0.309481724,0.097847182,3.15E-05,0.000269834,FALSE
GALM,92.5482976,-0.309353087,0.165043251,0.000187175,0.001241934,FALSE
SNRNP48,148.733116,-0.309197817,0.159109608,0.004022526,0.016147713,FALSE
CD109,1365.274606,-0.309104201,0.067304643,2.65E-09,7.57E-08,FALSE
LOC124904017,33.84148646,-0.308916375,0.286523809,0.000327191,0.001984631,FALSE
CELF6,13.95791147,-0.308745517,0.333875579,0.074906644,0.157530225,FALSE
INPP4B,86.25949733,-0.308354907,0.161071811,0.064823308,0.14149196,FALSE
CHD2,346.7153554,-0.308130976,0.120362016,0.004177784,0.016691454,FALSE
HERPUD2,246.1896384,-0.30777429,0.118806511,0.007150041,0.025724155,FALSE
SLC38A4-AS1,331.0536534,-0.307474228,0.112624341,0.018680771,0.054751149,FALSE
PENK-AS1,291.2367405,-0.307005474,0.127980835,0.007533197,0.026833597,FALSE
FAM177B,80.98952688,-0.306488734,0.179348795,0.000591847,0.003280653,FALSE
AFAP1L1,69.22137805,-0.305333122,0.211364803,0.038212053,0.094808575,FALSE
PALS2,65.97739554,-0.304728018,0.221351926,0.020502228,0.058760456,FALSE
ZEB1,903.0361082,-0.304443058,0.134990637,0.008116212,0.028464714,FALSE
HMGA2,1968.212569,-0.303905628,0.052289896,1.04E-15,9.82E-14,FALSE
DCN,13393.69294,-0.303671387,0.078937194,1.79E-15,1.59E-13,FALSE
ZNF808,96.57280218,-0.302725258,0.172910105,0.0332909,0.085018015,FALSE
CEP68,131.3212619,-0.302288223,0.157497876,1.92E-06,2.47E-05,FALSE
FOXP2,96.43099213,-0.302236819,0.167460825,0.002837613,0.012276434,FALSE
NCKAP5,42.62332226,-0.302107233,0.260166207,0.012710969,0.040292434,FALSE
GMDS,245.8653388,-0.301922579,0.13787349,0.007639871,0.027110062,FALSE
ZNF708,53.61158403,-0.301563463,0.229006044,0.026684864,0.07186579,FALSE
GATA2-AS1,42.8739632,-0.301213498,0.24707891,0.01582481,0.047885064,FALSE
PPM1K,140.1537794,-0.30070898,0.150633376,1.77E-05,0.000166142,FALSE
SLX9,116.1199523,-0.300346516,0.175460116,0.041818675,0.101489704,FALSE
WDR36,173.6123913,-0.299936616,0.115263047,7.28E-05,0.000553016,FALSE
SCAF11,610.6589396,-0.299831311,0.075968767,0.000121263,0.000862245,FALSE
JAG1,312.0791507,-0.299387039,0.119826012,0.001612481,0.007659285,FALSE
GM2A,363.9602833,-0.299078297,0.095526249,1.48E-08,3.47E-07,FALSE
HHIP-AS1,169.2314611,-0.299035076,0.124331027,0.024736552,0.067773067,FALSE
WNT5B,250.4351829,-0.298944016,0.117930523,1.17E-08,2.83E-07,FALSE
SUFU,184.0879865,-0.298787354,0.125063686,0.01350402,0.042155879,FALSE
MXRA8,8465.425,-0.298669279,0.075315926,2.41E-13,1.58E-11,FALSE
VCAN,1344.469899,-0.298116668,0.073697003,1.23E-06,1.64E-05,FALSE
NUDT11,94.97918879,-0.298107274,0.180754064,0.056462136,0.127472387,FALSE
TFAP2A,354.7006664,-0.297920186,0.128434986,3.81E-05,0.000319948,FALSE
SECISBP2L,226.4725227,-0.297847506,0.123974149,0.000585201,0.003252247,FALSE
CALCOCO2,1148.567837,-0.297788885,0.074841405,3.14E-05,0.00026915,FALSE
THRB,173.8693121,-0.297189941,0.127091258,0.005609948,0.021205512,FALSE
LMBRD1,390.2051889,-0.29612228,0.103766437,0.018985073,0.055518562,FALSE
OS9,1239.831756,-0.295495325,0.068167521,4.13E-09,1.11E-07,FALSE
ZNF229,34.37526713,-0.295469036,0.215873299,0.019903131,0.057396077,FALSE
NUDT4,677.4761011,-0.295354727,0.088730423,6.57E-07,9.48E-06,FALSE
H2BC21,53.70703507,-0.295115474,0.204741938,0.021935286,0.061879131,FALSE
LNX2,133.3903444,-0.294991136,0.139694145,0.000193255,0.001271419,FALSE
PDE1C,196.6165439,-0.294118822,0.133928454,0.015913994,0.048098127,FALSE
PLAGL1,173.2372353,-0.294049661,0.151980621,0.075403382,0.158259531,FALSE
MXI1,511.4126977,-0.293748311,0.114116871,0.003028286,0.012935383,FALSE
CRISPLD1,50.14562865,-0.293713784,0.231191198,0.161534716,0.275960527,FALSE
TEAD1,817.9184566,-0.29327051,0.073650179,0.000226724,0.001448366,FALSE
ADAMTSL4-AS1,53.51676442,-0.293177917,0.224204439,0.011874325,0.038218666,FALSE
NFYB,454.4216083,-0.292779061,0.098843715,0.003234798,0.013642598,FALSE
UBE2R2,1141.582763,-0.292702523,0.067003089,8.10E-07,1.13E-05,FALSE
SIX1,550.9002955,-0.29238378,0.093584233,7.43E-09,1.88E-07,FALSE
TGM2,234.4188902,-0.292278041,0.190199221,0.000112529,0.000811801,FALSE
BBX,737.8749817,-0.291860514,0.105053554,0.000691612,0.003733823,FALSE
PRCP,1799.776908,-0.291583811,0.060321451,2.31E-07,3.81E-06,FALSE
RFC1,349.1064863,-0.291501063,0.110485518,0.006499587,0.023918993,FALSE
BRD9,399.9649894,-0.290475823,0.103388807,0.01600114,0.048229617,FALSE
ARHGEF9,119.4984426,-0.290430339,0.154547597,0.009247502,0.031439484,FALSE
AHDC1,447.6506232,-0.290356806,0.101886129,4.20E-05,0.00034665,FALSE
LOC124901123,35.56271524,-0.29000327,0.288061411,0.060459005,0.134099396,FALSE
TNPO1,1561.832745,-0.28988153,0.058331885,1.03E-09,3.31E-08,FALSE
ZRANB2,134.7161393,-0.289630404,0.213853245,0.022224846,0.062450477,FALSE
LINC01085,64.6350129,-0.289097723,0.204828449,0.034662703,0.087586229,FALSE
TCEAL1,388.8624949,-0.289042198,0.109469219,0.021061623,0.059940171,FALSE
USP39,215.8040192,-0.288932006,0.105190428,0.00305514,0.013026233,FALSE
PTGFR,419.1033953,-0.288424876,0.100658719,4.96E-05,0.000400224,FALSE
ITGA7,42.3136114,-0.288340127,0.245431518,0.070257152,0.15022438,FALSE
LINC01605,222.5329347,-0.288158408,0.120486357,6.39E-06,6.96E-05,FALSE
ROCK2,548.7828313,-0.288115396,0.093783454,0.001758585,0.008260745,FALSE
KMO,21.46828504,-0.288059888,0.306864109,0.008436854,0.029308245,FALSE
LTBP4,149.364597,-0.28748966,0.147569843,0.000205898,0.001340422,FALSE
FGF1,129.3633177,-0.287465342,0.148427935,0.00038426,0.002280384,FALSE
NSMF,63.02569619,-0.287379735,0.179280057,0.005111177,0.019735998,FALSE
EEPD1,94.17790055,-0.286648242,0.182436917,0.0362465,0.090824614,FALSE
HMGN5,164.2445159,-0.285732669,0.135331789,0.011924959,0.038361359,FALSE
SOS1,264.5117506,-0.285641448,0.103304671,0.006717005,0.024535215,FALSE
LINC00205,170.2185223,-0.285474559,0.135274735,0.012082993,0.038709561,FALSE
ZNF772,133.8901248,-0.285204169,0.135929288,1.44E-05,0.000139738,FALSE
C1orf115,129.0764142,-0.284849524,0.158635633,0.013134898,0.041285533,FALSE
ZBTB2,82.05775962,-0.283755113,0.173565185,0.006201275,0.022966135,FALSE
ACACB,57.50206422,-0.283528797,0.233935364,0.107436979,0.205976074,FALSE
LOC100505715,60.58051445,-0.283147253,0.171035182,0.027506019,0.07350434,FALSE
